Brand,Price,Processor Type,SSD Capacity,RAM (System Memory),Graphics Card,Graphics Card Capacity,Operating System,Graphics Card Memory Type,Graphics Card Type,Warranty Type,RAM (System Memory) Type,Processor Core Count,Processor Generation,Processor Model,Usage Purpose,GPU Memory,Base Processor Speed (GHz),Connections,Screen Size,Maximum Expandable Memory
DMC,14899.0,Intel Core i5,256 GB,16 GB,AMD Radeon RX 580,500 GB,Windows,GDDR5,External,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,12th Generation,i5-3470,Gaming,8 GB,1.8,HDMI,24 inches,16 GB
Zeiron,25639.0,Intel Core i5,512 GB,32 GB,Nvidia GeForce RTX 3050,512 GB,Free Dos (No Operating System),GDDR6,External,Zeiron Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",6,12th Generation,12400F,Gaming,8 GB,1.8,Display Port,24 inches,64 GB
DMC,7277.0,Intel Core i7,256 GB,16 GB,Nvidia Geforce GT 740,256 GB,Windows,DDR3,External,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,12th Generation,860,Gaming,4 GB and below,1.8,VGA to DVI to HDMI,23.8 inches,64 GB
IZOLY,9799.0,Intel Core i5,4096 GB,16 GB,AMD Radeon RX550,256 GB,Windows,GDDR5,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,Shared,1.8,HDMI,24 inches,16 GB
DMC,16865.0,Intel Core i5,256 GB,16 GB,AMD Radeon RX 560,500 GB,Windows,GDDR5,External,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,12th Generation,9400F,Gaming,4 GB and below,1.8,HDMI,24 inches,16 GB
TURBOX,10499.0,Intel Core i5,512 GB,16 GB,Nvidia Geforce GT 740,512 GB,Free Dos (No Operating System),GDDR5,External,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,7th Generation,7400,Gaming,4 GB and below,1.8,USB,23.8 inches,32 GB
IZOLY,6331.847499999989,Intel Core i5,256 GB,16 GB,Integrated Graphics,256 GB,Free Dos (No Operating System),Integrated,Integrated,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,3rd Generation,3470,Office - Work,Shared,1.8,HDMI,5 to 5.5 inches,16 GB
DMC,12299.0,Intel Core i5,256 GB,16 GB,Nvidia GeForce GT 730,256 GB,Windows,DDR3,External,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,12th Generation,i5-3470,Gaming,4 GB and below,1.8,VGA to DVI to HDMI,24 inches,64 GB
TURBOX,8909.01,Intel Core i7,256 GB,8 GB,AMD Radeon R7 240,256 GB,Free Dos (No Operating System),DDR3,Integrated,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,1st Generation,860,Gaming,4 GB and below,1.8,VGA to DVI to HDMI,22 to 24 inches,8 GB
XASER,22543.34,AMD,512 GB,16 GB,Nvidia GeForce RTX 3050,512 GB,Free Dos (No Operating System),GDDR6,External,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",6,5th Generation,Ryzen 5 5600,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
