Brand,Price,Processor Type,SSD Capacity,RAM (System Memory),Graphics Card,Graphics Card Capacity,Operating System,Graphics Card Memory Type,Graphics Card Type,Warranty Type,RAM (System Memory) Type,Processor Core Count,Processor Generation,Processor Model,Usage Purpose,GPU Memory,Base Processor Speed (GHz),Connections,Screen Size,Maximum Expandable Memory
LENOVO,59281.74750000001,Intel Core i7,4096 GB,16 GB,Nvidia RTX A2000,4096 GB,Windows,GDDR6,External,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",16,13th Generation,13700,Office - Work,12 GB,1.8,DVI to HDMI,23.8 inches,64 GB
LENOVO,59281.74750000001,Intel Core i7,4096 GB,16 GB,Nvidia RTX A2000,4096 GB,Windows,GDDR6,External,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",16,13th Generation,13700,Office - Work,12 GB,1.8,DVI to HDMI,23.8 inches,64 GB
LENOVO,59281.74750000001,Intel Core i7,4096 GB,16 GB,Nvidia RTX A2000,4096 GB,Windows,GDDR6,External,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",16,13th Generation,13700,Office - Work,12 GB,1.8,DVI to HDMI,23.8 inches,64 GB
LENOVO,59281.74750000001,Intel Core i7,4096 GB,16 GB,Nvidia RTX A2000,4096 GB,Windows,GDDR6,External,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",16,13th Generation,13700,Office - Work,12 GB,1.8,DVI to HDMI,23.8 inches,64 GB
LENOVO,59281.74750000001,Intel Core i7,4096 GB,16 GB,Nvidia RTX A2000,4096 GB,Windows,GDDR6,External,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",16,13th Generation,13700,Office - Work,12 GB,1.8,DVI to HDMI,23.8 inches,64 GB
LENOVO,59281.74750000001,Intel Core i7,4096 GB,16 GB,Nvidia RTX A2000,4096 GB,Windows,GDDR6,External,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",16,13th Generation,13700,Office - Work,12 GB,1.8,DVI to HDMI,23.8 inches,64 GB
TURBOX,8892.0,Intel Core i5,512 GB,16 GB,Intel HD Graphics,512 GB,Free Dos (No Operating System),Integrated,Integrated,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,3rd Generation,3470,Home - School,Shared,1.8,HDMI,21.5 inches,16 GB
Gaming Game,11999.0,Intel Core i7,256 GB,16 GB,Nvidia GeForce GT 730,250 GB,Windows,DDR3,External,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",8,12th Generation,860,Gaming,4 GB and below,1.8,USB,20 inches,16 GB
ACER,26699.49,Intel Core i5,4096 GB,16 GB,Intel UHD Graphics 730,256 GB,Windows,Integrated,Integrated,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",6,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
TURBOX,6588.0,Intel Core i7,4096 GB,16 GB,Intel HD Graphics,512 GB,Free Dos (No Operating System),Integrated,External,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,2nd Generation,2600,Office - Work,Shared,1.8,HDMI,23.8 inches,16 GB
Gamepage,10849.0,Intel Core i7,4096 GB,16 GB,Nvidia GeForce GT 730,500 GB,Free Dos (No Operating System),DDR3,External,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,1st Generation,860,Gaming,4 GB and below,1.8,Wi-Fi,24 inches,16 GB
Canar,9500.0,Intel Pentium,4096 GB,16 GB,Integrated Graphics,256 GB,Windows,Integrated,Integrated,Importer Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
Zeiron,6874.0,Intel Core i7,4096 GB,16 GB,Nvidia GeForce GT 730,256 GB,Free Dos (No Operating System),DDR3,External,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,1st Generation,860,Gaming,4 GB and below,1.8,Wi-Fi,23.8 inches,16 GB
Dell,59281.74750000001,Intel Core i7,4096 GB,128 GB,Nvidia RTX A4000,256 GB,Windows,GDDR6,External,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12700K,Office - Work,16 GB,1.8,USB,23.8 inches,64 GB
HP,59281.74750000001,Intel Core i9,4096 GB,128 GB,Nvidia RTX A4000,256 GB,Windows,GDDR6,External,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",24,14th Generation,14900KF,Office - Work,16 GB,1.8,USB,23.8 inches,64 GB
TURBOX,8184.0,Intel Core i5,256 GB,16 GB,Intel HD Graphics,256 GB,Free Dos (No Operating System),Integrated,Integrated,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,4th Generation,4440,Office - Work,Shared,1.8,HDMI,22 to 24 inches,16 GB
EFS TECHNOLOGY,6331.847499999989,Intel Core i3,4096 GB,16 GB,Integrated Graphics,256 GB,Free Dos (No Operating System),DDR3,Integrated,Importer Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",2,3rd Generation,3220,Office - Work,8 GB,1.8,USB,23.8 inches,8 GB
TURBOX,9573.0,Intel Core i7,512 GB,8 GB,Intel HD Graphics,512 GB,Free Dos (No Operating System),Integrated,Integrated,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,7th Generation,1000M,Office - Work,Shared,1.8,HDMI,23.8 inches,32 GB
XASER,6331.847499999989,Intel Core i7,4096 GB,16 GB,Intel HD Graphics,256 GB,Free Dos (No Operating System),Integrated,Integrated,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,4th Generation,4770,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
XASER,7427.76,Intel Core i5,4096 GB,16 GB,Intel HD Graphics,128 GB,Free Dos (No Operating System),Integrated,Integrated,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,4th Generation,4440,Home - School,Shared,1.8,USB,20 inches,64 GB
Gamepage,7949.0,Intel Core i5,4096 GB,16 GB,Intel HD Graphics,256 GB,Free Dos (No Operating System),Integrated,External,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,1st Generation,650,Home - School,Shared,1.8,Wi-Fi,19 inches,8 GB
ACER,42520.82,Intel Core i5,4096 GB,32 GB,NVIDIA GeForce GT1030,4096 GB,Free Dos (No Operating System),GDDR5,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,42147.63,Intel Core i5,4096 GB,40 GB,Integrated Graphics,4096 GB,Windows,Integrated,Integrated,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,Shared,1.8,USB,23.8 inches,64 GB
ACER,42285.57,Intel Core i5,4096 GB,8 GB,NVIDIA GeForce GT1030,4096 GB,Windows,GDDR5,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,43153.26,Intel Core i5,4096 GB,32 GB,AMD Radeon RX550,4096 GB,Free Dos (No Operating System),GDDR5,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,42993.1,Intel Core i5,4096 GB,48 GB,Nvidia GeForce GT 730,4096 GB,Windows,DDR3,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,43517.3,Intel Core i5,2048 GB,48 GB,Nvidia GeForce GTX 1650,2048 GB,Windows,GDDR6,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,42948.6,Intel Core i5,4096 GB,40 GB,NVIDIA GeForce GT1030,4096 GB,Windows,GDDR5,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,42285.57,Intel Core i5,4096 GB,12 GB,NVIDIA GeForce GT1030,4096 GB,Windows,GDDR5,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,43549.34,Intel Core i5,4096 GB,48 GB,NVIDIA GeForce GT1030,4096 GB,Windows,GDDR5,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,42315.83,Intel Core i5,2048 GB,32 GB,Nvidia GeForce GTX 1650,2048 GB,Windows,GDDR6,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,44959.06,Intel Core i5,2048 GB,64 GB,Nvidia GeForce GTX 1650,2048 GB,Windows,GDDR6,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,42886.31,Intel Core i5,4096 GB,20 GB,NVIDIA GeForce GT1030,4096 GB,Windows,GDDR5,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,47554.23,Intel Core i5,4096 GB,32 GB,Nvidia GeForce GTX 1650,4096 GB,Windows,GDDR6,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,44043.28,Intel Core i5,4096 GB,24 GB,AMD Radeon RX550,4096 GB,Windows,GDDR5,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,44928.8,Intel Core i5,4096 GB,40 GB,NVIDIA GeForce GT1030,4096 GB,Windows,GDDR5,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,42841.81,Intel Core i5,4096 GB,12 GB,AMD Radeon RX550,4096 GB,Windows,GDDR5,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,44132.27,Intel Core i5,4096 GB,16 GB,Nvidia GeForce GTX 1650,4096 GB,Windows,GDDR6,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,44190.12,Intel Core i5,4096 GB,64 GB,Integrated Graphics,4096 GB,Windows,Integrated,Integrated,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,Shared,1.8,USB,23.8 inches,64 GB
ACER,44434.87,Intel Core i5,4096 GB,64 GB,Nvidia GeForce GT 730,4096 GB,Windows,DDR3,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,43531.54,Intel Core i5,4096 GB,12 GB,Nvidia GeForce GTX 1650,4096 GB,Windows,GDDR6,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,42748.36,Intel Core i5,4096 GB,48 GB,Integrated Graphics,4096 GB,Windows,Integrated,Integrated,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,Shared,1.8,USB,23.8 inches,64 GB
ACER,46112.47,Intel Core i5,4096 GB,20 GB,Nvidia GeForce GTX 1650,4096 GB,Windows,GDDR6,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,44328.07,Intel Core i5,4096 GB,36 GB,NVIDIA GeForce GT1030,4096 GB,Windows,GDDR5,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,47527.53,Intel Core i5,4096 GB,64 GB,AMD Radeon RX550,4096 GB,Windows,GDDR5,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,45529.54,Intel Core i5,4096 GB,48 GB,NVIDIA GeForce GT1030,4096 GB,Windows,GDDR5,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,42886.31,Intel Core i5,4096 GB,16 GB,NVIDIA GeForce GT1030,4096 GB,Windows,GDDR5,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,43771.83,Intel Core i5,4096 GB,36 GB,Nvidia GeForce GT 730,4096 GB,Windows,DDR3,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,46085.77,Intel Core i5,4096 GB,48 GB,AMD Radeon RX550,4096 GB,Windows,GDDR5,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,46158.61,Intel Core i5,4096 GB,64 GB,AMD Radeon RX550,4096 GB,Free Dos (No Operating System),GDDR5,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,41791.63,Intel Core i5,4096 GB,32 GB,Nvidia GeForce GT 730,4096 GB,Windows,DDR3,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,42841.81,Intel Core i5,4096 GB,8 GB,AMD Radeon RX550,4096 GB,Windows,GDDR5,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,47554.23,Intel Core i5,4096 GB,36 GB,Nvidia GeForce GTX 1650,4096 GB,Windows,GDDR6,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,44328.07,Intel Core i5,4096 GB,32 GB,NVIDIA GeForce GT1030,4096 GB,Windows,GDDR5,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,44372.57,Intel Core i5,4096 GB,40 GB,Nvidia GeForce GT 730,4096 GB,Windows,DDR3,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,46775.5,Intel Core i5,4096 GB,48 GB,Nvidia GeForce GTX 1650,4096 GB,Windows,GDDR6,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,44105.57,Intel Core i5,4096 GB,48 GB,AMD Radeon RX550,4096 GB,Windows,GDDR5,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
